Column1;Data centers and AI;Gaming;Other;Total;% Data centers and AI;% Gaming;% Other;% Total
01/01/2014; $57.000.000,00 ; $468.000.000,00 ; $578.000.000,00 ; $1.103.000.000,00 ;5%;42%;52%;100%
01/04/2014; $83.000.000,00 ; $417.000.000,00 ; $603.000.000,00 ; $1.103.000.000,00 ;8%;38%;55%;100%
01/07/2014; $89.000.000,00 ; $527.000.000,00 ; $609.000.000,00 ; $1.225.000.000,00 ;7%;43%;50%;100%
01/10/2014; $88.000.000,00 ; $646.000.000,00 ; $517.000.000,00 ; $1.251.000.000,00 ;7%;52%;41%;100%
01/01/2015; $88.000.000,00 ; $587.000.000,00 ; $476.000.000,00 ; $1.151.000.000,00 ;8%;51%;41%;100%
01/04/2015; $72.000.000,00 ; $660.000.000,00 ; $421.000.000,00 ; $1.153.000.000,00 ;6%;57%;37%;100%
01/07/2015; $82.000.000,00 ; $761.000.000,00 ; $462.000.000,00 ; $1.305.000.000,00 ;6%;58%;35%;100%
01/10/2015; $97.000.000,00 ; $810.000.000,00 ; $494.000.000,00 ; $1.401.000.000,00 ;7%;58%;35%;100%
01/01/2016; $143.000.000,00 ; $687.000.000,00 ; $475.000.000,00 ; $1.305.000.000,00 ;11%;53%;36%;100%
01/04/2016; $151.000.000,00 ; $781.000.000,00 ; $496.000.000,00 ; $1.428.000.000,00 ;11%;55%;35%;100%
01/07/2016; $240.000.000,00 ; $1.244.000.000,00 ; $520.000.000,00 ; $2.004.000.000,00 ;12%;62%;26%;100%
01/10/2016; $296.000.000,00 ; $1.348.000.000,00 ; $529.000.000,00 ; $2.173.000.000,00 ;14%;62%;24%;100%
01/01/2017; $409.000.000,00 ; $1.027.000.000,00 ; $501.000.000,00 ; $1.937.000.000,00 ;21%;53%;26%;100%
01/04/2017; $416.000.000,00 ; $1.186.000.000,00 ; $628.000.000,00 ; $2.230.000.000,00 ;19%;53%;28%;100%
01/07/2017; $501.000.000,00 ; $1.561.000.000,00 ; $574.000.000,00 ; $2.636.000.000,00 ;19%;59%;22%;100%
01/10/2017; $606.000.000,00 ; $1.739.000.000,00 ; $566.000.000,00 ; $2.911.000.000,00 ;21%;60%;19%;100%
01/01/2018; $701.000.000,00 ; $1.723.000.000,00 ; $783.000.000,00 ; $3.207.000.000,00 ;22%;54%;24%;100%
01/04/2018; $760.000.000,00 ; $1.805.000.000,00 ; $558.000.000,00 ; $3.123.000.000,00 ;24%;58%;18%;100%
01/07/2018; $792.000.000,00 ; $1.764.000.000,00 ; $625.000.000,00 ; $3.181.000.000,00 ;25%;55%;20%;100%
01/10/2018; $679.000.000,00 ; $954.000.000,00 ; $572.000.000,00 ; $2.205.000.000,00 ;31%;43%;26%;100%
01/01/2019; $634.000.000,00 ; $1.055.000.000,00 ; $531.000.000,00 ; $2.220.000.000,00 ;29%;48%;24%;100%
01/04/2019; $655.000.000,00 ; $1.313.000.000,00 ; $611.000.000,00 ; $2.579.000.000,00 ;25%;51%;24%;100%
01/07/2019; $726.000.000,00 ; $1.659.000.000,00 ; $629.000.000,00 ; $3.014.000.000,00 ;24%;55%;21%;100%
01/10/2019; $968.000.000,00 ; $1.491.000.000,00 ; $646.000.000,00 ; $3.105.000.000,00 ;31%;48%;21%;100%
01/01/2020; $1.141.000.000,00 ; $1.339.000.000,00 ; $600.000.000,00 ; $3.080.000.000,00 ;37%;43%;19%;100%
01/04/2020; $1.752.000.000,00 ; $1.654.000.000,00 ; $460.000.000,00 ; $3.866.000.000,00 ;45%;43%;12%;100%
01/07/2020; $1.900.000.000,00 ; $2.271.000.000,00 ; $555.000.000,00 ; $4.726.000.000,00 ;40%;48%;12%;100%
01/10/2020; $1.903.000.000,00 ; $2.495.000.000,00 ; $605.000.000,00 ; $5.003.000.000,00 ;38%;50%;12%;100%
01/01/2021; $2.048.000.000,00 ; $2.760.000.000,00 ; $853.000.000,00 ; $5.661.000.000,00 ;36%;49%;15%;100%
01/04/2021; $2.366.000.000,00 ; $3.061.000.000,00 ; $1.080.000.000,00 ; $6.507.000.000,00 ;36%;47%;17%;100%
01/07/2021; $2.936.000.000,00 ; $3.221.000.000,00 ; $946.000.000,00 ; $7.103.000.000,00 ;41%;45%;13%;100%
01/10/2021; $3.263.000.000,00 ; $3.420.000.000,00 ; $960.000.000,00 ; $7.643.000.000,00 ;43%;45%;13%;100%
01/01/2022; $3.750.000.000,00 ; $3.620.000.000,00 ; $918.000.000,00 ; $8.288.000.000,00 ;45%;44%;11%;100%
01/04/2022; $3.806.000.000,00 ; $2.042.000.000,00 ; $856.000.000,00 ; $6.704.000.000,00 ;57%;30%;13%;100%
01/07/2022; $3.833.000.000,00 ; $1.574.000.000,00 ; $524.000.000,00 ; $5.931.000.000,00 ;65%;27%;9%;100%
01/10/2022; $3.616.000.000,00 ; $1.831.000.000,00 ; $604.000.000,00 ; $6.051.000.000,00 ;60%;30%;10%;100%
01/01/2023; $4.284.000.000,00 ; $2.240.000.000,00 ; $668.000.000,00 ; $7.192.000.000,00 ;60%;31%;9%;100%
01/04/2023; $10.323.000.000,00 ; $2.486.000.000,00 ; $698.000.000,00 ; $13.507.000.000,00 ;76%;18%;5%;100%
01/07/2023; $14.514.000.000,00 ; $2.856.000.000,00 ; $750.000.000,00 ; $18.120.000.000,00 ;80%;16%;4%;100%
01/10/2023; $18.404.000.000,00 ; $2.865.000.000,00 ; $834.000.000,00 ; $22.103.000.000,00 ;83%;13%;4%;100%
01/01/2024; $22.563.000.000,00 ; $2.647.000.000,00 ; $834.000.000,00 ; $26.044.000.000,00 ;87%;10%;3%;100%
01/04/2024; $26.272.000.000,00 ; $2.880.000.000,00 ; $888.000.000,00 ; $30.040.000.000,00 ;87%;10%;3%;100%
01/07/2024; $30.771.000.000,00 ; $3.279.000.000,00 ; $1.032.000.000,00 ; $35.082.000.000,00 ;88%;9%;3%;100%
01/10/2024; $35.580.000.000,00 ; $2.544.000.000,00 ; $1.207.000.000,00 ; $39.331.000.000,00 ;90%;6%;3%;100%
01/01/2025; $39.112.000.000,00 ; $3.763.000.000,00 ; $1.187.000.000,00 ; $44.062.000.000,00 ;89%;9%;3%;100%
01/04/2025; $41.096.000.000,00 ; $4.287.000.000,00 ; $1.360.000.000,00 ; $46.743.000.000,00 ;88%;9%;3%;100%
01/07/2025; $51.215.000.000,00 ; $4.265.000.000,00 ; $1.526.000.000,00 ; $57.006.000.000,00 ;90%;7%;3%;100%
